generation_id,min_fitness,max_fitness,avg_fitness,stddev_fitness,median_fitness,avg_trendline,min_trendline,max_trendline,median_trendline,stddev_trendline
75,0.66,198.24,11.8,35.39,0.94,7.27,0.68,134.36,0.62,21.69
76,0.69,16.54,3.9,4.84,0.86,7.2,0.68,134.21,0.58,21.6
77,0.66,151.36,7.78,22.83,0.87,7.14,0.68,134.05,0.54,21.51
78,0.66,199.21,7.71,28.61,0.95,7.07,0.68,133.9,0.5,21.43
79,0.68,151.89,7.43,21.93,0.96,7,0.68,133.75,0.46,21.34
80,0.67,150.9,7.36,22.66,0.88,6.94,0.68,133.59,0.42,21.25
81,0.69,18.63,4.16,5.35,0.82,6.87,0.68,133.44,0.38,21.17
82,0.67,151.84,8.41,23.3,0.81,6.8,0.68,133.29,0.34,21.08
83,0.68,152.38,6.8,22.03,0.87,6.73,0.67,133.13,0.3,20.99
84,0.69,18.46,3.25,4.96,0.82,6.67,0.67,132.98,0.26,20.91
85,0.68,151.16,6.12,21.8,0.88,6.6,0.67,132.83,0.22,20.82
86,0.66,151.13,6.7,21.85,0.94,6.53,0.67,132.68,0.18,20.73
87,0.68,151.59,8.67,22.7,0.84,6.46,0.67,132.52,0.14,20.65
88,0.68,200.5,10.44,35.54,0.87,6.4,0.67,132.37,0.1,20.56
89,0.7,152.12,11.31,30.3,0.92,6.33,0.67,132.22,0.06,20.47
90,0.69,150.92,6.5,21.78,0.89,6.26,0.67,132.06,0.02,20.39
91,0.66,49.73,4.85,8.26,0.89,6.19,0.67,131.91,-0.02,20.3
92,0.69,152.08,5.87,22.33,0.89,6.13,0.67,131.76,-0.06,20.21
93,0.69,152.1,8.35,22.19,1.01,6.06,0.67,131.6,-0.099,20.13
94,0.68,151.42,7.16,22.19,0.94,5.99,0.67,131.45,-0.14,20.04
95,0.69,15.73,3.36,4.32,0.9,5.93,0.67,131.3,-0.18,19.95
96,0.7,225.37,12.16,38.4,0.9,5.86,0.67,131.14,-0.22,19.87
97,0.67,185.76,7.21,26.72,0.8,5.79,0.67,130.99,-0.26,19.78
